,fall,geolocation,id,mass,name,nametype,recclass,reclat,reclong,year
0,Fell,"{'latitude': '50.775', 'longitude': '6.08333'}",1,21,Aachen,Valid,L5,50.775000,6.083330,1880-01-01T00:00:00.000
1,Fell,"{'latitude': '56.18333', 'longitude': '10.23333'}",2,720,Aarhus,Valid,H6,56.183330,10.233330,1951-01-01T00:00:00.000
2,Fell,"{'latitude': '54.21667', 'longitude': '-113.0'}",6,107000,Abee,Valid,EH4,54.216670,-113.000000,1952-01-01T00:00:00.000
3,Fell,"{'latitude': '16.88333', 'longitude': '-99.9'}",10,1914,Acapulco,Valid,Acapulcoite,16.883330,-99.900000,1976-01-01T00:00:00.000
4,Fell,"{'latitude': '-33.16667', 'longitude': '-64.95'}",370,780,Achiras,Valid,L6,-33.166670,-64.950000,1902-01-01T00:00:00.000
5,Fell,"{'latitude': '32.1', 'longitude': '71.8'}",379,4239,Adhi Kot,Valid,EH4,32.100000,71.800000,1919-01-01T00:00:00.000
6,Fell,"{'latitude': '44.83333', 'longitude': '95.16667'}",390,910,Adzhi-Bogdo (stone),Valid,LL3-6,44.833330,95.166670,1949-01-01T00:00:00.000
7,Fell,"{'latitude': '44.21667', 'longitude': '0.61667'}",392,30000,Agen,Valid,H5,44.216670,0.616670,1814-01-01T00:00:00.000
8,Fell,"{'latitude': '-31.6', 'longitude': '-65.23333'}",398,1620,Aguada,Valid,L6,-31.600000,-65.233330,1930-01-01T00:00:00.000
9,Fell,"{'latitude': '-30.86667', 'longitude': '-64.55'}",417,1440,Aguila Blanca,Valid,L,-30.866670,-64.550000,1920-01-01T00:00:00.000
10,Fell,"{'latitude': '16.39806', 'longitude': '-9.57028'}",423,1000,Aioun el Atrouss,Valid,Diogenite-pm,16.398060,-9.570280,1974-01-01T00:00:00.000
11,Fell,"{'latitude': '19.08333', 'longitude': '8.38333'}",424,24000,Aïr,Valid,L6,19.083330,8.383330,1925-01-01T00:00:00.000
12,Fell,"{'latitude': '50.66667', 'longitude': '2.33333'}",425,0,Aire-sur-la-Lys,Valid,Unknown,50.666670,2.333330,1769-01-01T00:00:00.000
13,Fell,"{'latitude': '29.51667', 'longitude': '35.05'}",426,779,Akaba,Valid,L6,29.516670,35.050000,1949-01-01T00:00:00.000
14,Fell,"{'latitude': '29.71667', 'longitude': '77.95'}",427,1800,Akbarpur,Valid,H4,29.716670,77.950000,1838-01-01T00:00:00.000
15,Fell,"{'latitude': '8.91667', 'longitude': '8.43333'}",432,3000,Akwanga,Valid,H,8.916670,8.433330,1959-01-01T00:00:00.000
16,Fell,"{'latitude': '39.91667', 'longitude': '42.81667'}",433,50000,Akyumak,Valid,"Iron, IVA",39.916670,42.816670,1981-01-01T00:00:00.000
